X,Y,ID,CVE_ENT,CVE_MUN,CVE_LOC,NOMVIAL,TIPOVIAL,SENTIDO,NOMVIAL_2,TIPOVIAL_2,SENTIDO_2,freq,RANGO,ETIQUETA
-101.315374184227,19.6850222148792,17.000000000000000,"16","053","0473",Las Águilas,Calle,Dos sentidos,Las Águilas,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.316588397204,19.6850293531093,28.000000000000000,"16","053","0473",Los Cernícalos,Calle,Dos sentidos,Los Cernícalos,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.315237339545,19.6862931841681,29.000000000000000,"16","053","0473",Las Águilas,Calle,Dos sentidos,Las Águilas,Calle,Dos sentidos,"3",2.000000000000000,Bajo (3-5)
-101.164664213439,19.6522592455952,33.000000000000000,"16","053","0468",Paseo de las Águilas,Calle,Dos sentidos,Paseo de los Alces,Retorno,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.166502941665,19.6540783441955,41.000000000000000,"16","053","0468",Paseo de las Águilas,Calle,Dos sentidos,Cordillera de los Andes,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.117424504458,19.7023068052949,73.000000000000000,"16","053","0439",Paseo del Punhuato,Calle,Dos sentidos,Paseo del Punhuato,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.102825690006,19.7219388348775,74.000000000000000,"16","053","0439",Bosque de Álamos,Privada,Dos sentidos,Ninguno,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.115868207092,19.7183321609138,76.000000000000000,"16","053","0439",Tres Marías Norte,Circuito,Dos sentidos,Tres Marías Norte,Circuito,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.242044008777,19.6839417147598,127.000000000000000,"16","053","0306",Luz de Día,Calle,Dos sentidos,Río Grande de Morelia,Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.246221600149,19.6786227697103,133.000000000000000,"16","053","0300",Ã?bano,Calle,Dos sentidos,Encino,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.330408367625,19.6885156858427,168.000000000000000,"16","053","0253",Calle de la Cañada,Calle,Dos sentidos,Lomas de la Maestranza Oriente,Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.253738489928,19.6776006496353,234.000000000000000,"16","053","0130",San Juanito Itzícuaro,Avenida,Dos sentidos,Dalia,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.254274019548,19.6771755195601,235.000000000000000,"16","053","0130",San Juanito Itzícuaro,Avenida,Dos sentidos,J. Jesús Andrade,Calle,Dos sentidos,"4",2.000000000000000,Bajo (3-5)
-101.250592260374,19.6811015396981,237.000000000000000,"16","053","0130",San Juanito Itzícuaro,Avenida,Peatonal,San Juanito Itzícuaro,Avenida,Peatonal,"1",1.000000000000000,Muy bajo (1-2)
-101.239161490096,19.64255142025,264.000000000000000,"16","053","0086",San Cristóbal Ecatepec,Diagonal,Dos sentidos,San Cristóbal Ecatepec,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.180993539861,19.6566379403094,272.000000000000000,"16","053","0058",Amalia Solórzano (Avenida de las Torres),Avenida,Dos sentidos,Flor de Durazno,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.176302365561,19.6577753046381,273.000000000000000,"16","053","0058",Amalia Solórzano (Avenida de las Torres),Avenida,Dos sentidos,Manuel de la Parra,Calle,Dos sentidos,"3",2.000000000000000,Bajo (3-5)
-101.180479519841,19.6568161503301,274.000000000000000,"16","053","0058",Amalia Solórzano (Avenida de las Torres),Avenida,Dos sentidos,Jesús T. Acevedo,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.250386848467,19.7926861750884,282.000000000000000,"16","053","0057",José María Morelos,Calle,Dos sentidos,Lázaro Cárdenas,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.114101781597,19.7375382818711,301.000000000000000,"16","053","0032",Cerrada José María Morelos,Calle,Dos sentidos,Ignacio López Rayón,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.114794562031,19.7370471440675,302.000000000000000,"16","053","0032",Cerrada José María Morelos,Calle,Dos sentidos,José María Morelos,Calle,Dos sentidos,"6",4.000000000000000,Medio (6-10)
-101.307911800199,19.6794756597495,318.000000000000000,"16","053","0474",Avenida de la Cantera,Avenida,Un sentido,Avenida del Murano,Avenida,Un sentido,"2",1.000000000000000,Muy bajo (1-2)
